protein,f_stat,p_value,eta_squared,p_adjusted
NP_001017,9.498944773909328,6.205620313116278e-06,0.4042285670825491,0.07080612777265673
NP_001135757,9.00363473752373,1.0939228584755597e-05,0.3914005260584721,0.12481659815206136
NP_000960,8.811953307352786,1.366177679856001e-05,0.38628666246272325,0.15588087327156971
NP_001003,7.672057235722378,5.300210580769824e-05,0.3540068740256191,0.6047540272658369
NP_000985,7.631517590722363,5.568139418713144e-05,0.35279621777417414,0.6353247076751697
NP_000975,7.631432661973257,5.5687151504277e-05,0.3527936767400918,0.6353903986638006
NP_054729,7.29244567488528,8.436336959163928e-05,0.34248981005910545,0.9625860470406042
NP_003467,7.13571153458306,0.00010241450065571353,0.33761397258414205,1.0
NP_000979,7.021634042313312,0.00011802414907324255,0.334019421524504,1.0
NP_055984,6.958225130566664,0.0001277417374413604,0.3320045035883499,1.0
NP_115805,6.179203744580303,0.0003430586999548405,0.30621643067754367,1.0
NP_003632,6.0580795038247315,0.0004010747254677865,0.3020268965764924,1.0
NP_002880,5.989142805841853,0.00043851448273643826,0.29961979180475484,1.0
NP_003237,5.782768233715687,0.0005736087466697728,0.2923133994897712,1.0
NP_001104488,5.731783309608166,0.0006131522587532954,0.2904848091868686,1.0
NP_066933,5.598364687649767,0.0007304518575834995,0.2856546848103949,1.0
NP_660093,5.583864284805201,0.0007445205048103921,0.2851257649460751,1.0
NP_006120,5.41597662161773,0.000929231512017436,0.2789443316277785,1.0
NP_000959,5.403615749294471,0.0009445687460879577,0.2784849905869194,1.0
NP_075378,5.281345761852218,0.0011110456323801129,0.27390960294385985,1.0
NP_000135,5.251390989955868,0.0011562472069759327,0.2727798210890687,1.0
NP_000981,5.236212276447778,0.0011798685231328109,0.2722059936331039,1.0
NP_066973,5.227109914425455,0.0011942708842701906,0.27186144655592415,1.0
NP_001191379,5.174898012365098,0.0012804445175479875,0.2698787763579248,1.0
NP_006724,5.10479889326527,0.0014062850517363166,0.26719982355138977,1.0
NP_003018,5.028625250510193,0.0015575022212370219,0.26426634527238724,1.0
NP_000098,4.980100372154412,0.0016624414137361545,0.26238535489836956,1.0
NP_079093,4.970290009052282,0.001684524108279024,0.2620039022429573,1.0
NP_056474,4.93231113062555,0.001772889612855293,0.2605234562539423,1.0
NP_076994,4.915702548585662,0.0018130140626438126,0.25987417258013573,1.0
NP_001166987,4.88750088964174,0.001883292745443763,0.2587690620479143,1.0
NP_919226,4.817040237809286,0.0020713538217638967,0.25599351316315705,1.0
NP_004173,4.806055689234063,0.00210236200526938,0.25555894168628857,1.0
NP_112595,4.802698285748236,0.002111934244983835,0.25542601454114205,1.0
NP_003017,4.791045567373441,0.002145505205251773,0.25496428871909327,1.0
NP_001928,4.771522138878222,0.002202982579971879,0.25418941008495977,1.0
NP_000659,4.73412689242616,0.00231752290283435,0.25270069534652706,1.0
NP_588614,4.679665343206262,0.002495358892121946,0.25052190482139663,1.0
NP_001363,4.662297178977431,0.0025549662105988163,0.2498243991221714,1.0
NP_001121687,4.652558559110394,0.002589025441867249,0.24943272765322408,1.0
NP_000610,4.643400126412224,0.0026214800224846763,0.24906401702090228,1.0
NP_839946,4.635895723213657,0.002648383789111945,0.2487616260612034,1.0
NP_067052,4.631386419278868,0.0026646858265405604,0.24857980587459294,1.0
NP_612392,4.6229596918784335,0.002695426245586579,0.2482397947676669,1.0
NP_054742,4.6199500741562805,0.0027064930728830402,0.24811828472991349,1.0
NP_001131080,4.59688972220892,0.002792849207423418,0.24718594296546212,1.0
NP_002510,4.591526722672305,0.0028133339163488066,0.24696878266984668,1.0
NP_055672,4.538790169983759,0.0030231549294957717,0.2448266649747476,1.0
NP_001020787,4.527034033150952,0.0030720739739019715,0.24434747758602918,1.0
NP_001127835,4.511179702324228,0.003139332832559108,0.24370028139037575,1.0
NP_078772,4.506618448959365,0.0031589609600777757,0.24351387917725045,1.0
NP_001138783,4.479414543779751,0.0032786637652498164,0.242400241261298,1.0
NP_002222,4.473130617975039,0.00330696850764156,0.24214253179277132,1.0
NP_000962,4.470873726255032,0.0033171951910661857,0.24204993182861728,1.0
NP_653254,4.453242994934542,0.0033982081076365345,0.24132576567473632,1.0
NP_004084,4.432291510065858,0.003497118684516189,0.24046340128927465,1.0
NP_000660,4.429277586873995,0.003511587717273857,0.24033918670955876,1.0
NP_055701,4.397973792799445,0.003665541275967989,0.23904663863151684,1.0
NP_001013009,4.39724394406453,0.003669211977391283,0.2390164503680023,1.0
NP_006250,4.3668290061371815,0.0038255731246153598,0.23775628360660556,1.0
NP_443167,4.342158932028938,0.003957398447445672,0.23673107119613346,1.0
NP_055029,4.33092090940241,0.004018980934848093,0.23626313870466642,1.0
NP_872620,4.32521456443176,0.004050625115003794,0.2360253163325447,1.0
NP_055601,4.322161938214103,0.004067657777473151,0.23589803172732976,1.0
NP_001124163,4.3141244311970635,0.004112855682375682,0.2355626908293907,1.0
NP_612459,4.308904614690713,0.0041424834642181515,0.23534475193198237,1.0
NP_001035492,4.301407044737776,0.004185422231211441,0.23503149425740819,1.0
NP_665803,4.24635884469965,0.0045149501361796286,0.23272362890819537,1.0
NP_653218,4.243036074740378,0.0045356700748004864,0.23258387788945697,1.0
NP_057394,4.232812824702256,0.004600031354615209,0.2321535829604711,1.0
NP_001129407,4.214322851856854,0.00471881784290399,0.23137411619050247,1.0
NP_859063,4.20007676979247,0.004812475283490565,0.2307724754635947,1.0
NP_659409,4.193146567804154,0.004858721015061167,0.23047945841455678,1.0
NP_001092084,4.191534309904107,0.0048695446950664575,0.23041125825335626,1.0
NP_003725,4.189956593015058,0.004880160344681235,0.2303445075082807,1.0
NP_000958,4.183708283672842,0.004922434855949768,0.23008003749319902,1.0
NP_148935,4.176429987574174,0.004972150176062835,0.22977174232944972,1.0
NP_001177893,4.174604115037681,0.004984702340987845,0.22969436300313184,1.0
NP_060633,4.152956250878976,0.005136014535156201,0.2287757538487918,1.0
NP_001129406,4.142414301709706,0.005211390806059724,0.22832762127581507,1.0
NP_006466,4.142380390296901,0.005211635091978626,0.22832617887961226,1.0
NP_653179,4.141414419867729,0.005218598519070569,0.22828508979609777,1.0
NP_060416,4.1093029946017285,0.005455573157773778,0.22691668452544453,1.0
NP_001153408,4.108127520836696,0.005464453523806199,0.22686650047662577,1.0
NP_001861,4.1061104242152275,0.0054797265293462264,0.22678037016297492,1.0
NP_689729,4.10033686444247,0.005523684092439103,0.2265337322255836,1.0
NP_477511,4.0995065659102226,0.005530035207685778,0.22649825015845998,1.0
NP_060150,4.092676729902387,0.005582561781165501,0.22620625963754057,1.0
NP_000935,4.068345127754752,0.005773867115308552,0.22516423607081618,1.0
NP_057726,4.061720992406969,0.005827099154236307,0.2248800650898379,1.0
NP_001001548,4.055069457397055,0.005881055715499671,0.22459450886995722,1.0
