Pathway(ConsensusPathDB)	Pathway(KEGG)_full	Function_description	MIM_phenotype_id	Trait_association(GWAS)	GO_biological_process	GO_cellular_component	GO_molecular_function	Ensembl_geneid
.	.	FUNCTION: May play a role in photoreceptor development. {ECO:0000250}.; 	.	.	.	nucleus	.	ENSG00000187634
EGFR1	.	FUNCTION: Controls the stability of the leptin mRNA harboring an AU-rich element (ARE) in its 3' UTR, in cooperation with the RNA stabilizer ELAVL1 (PubMed:29180010). Decreases the stability of the leptin mRNA by antagonizing the function of ELAVL1 by inducing its atypical recruitment from the nucleus to the cytosol (By similarity). Binds to cardiolipin (CL), phosphatidic acid (PA), phosphatidylinositol 4-phosphate (PtdIns(4)P) and phosphatidylserine (PS) (PubMed:18191643). Promotes apoptosis by enhancing BAX-BAK hetro-oligomerization via interaction with BID in colon cancer cells (PubMed:29531808) (By similarity). {ECO:0000250|UniProtKB:Q8C886, ECO:0000269|PubMed:18191643, ECO:0000269|PubMed:29180010, ECO:0000269|PubMed:29531808}.; 	.	Parkinson's disease[26227905];	response to hypoxia;positive regulation of apoptotic process;3'-UTR-mediated mRNA destabilization	mitochondrion;cytoskeleton;plasma membrane;mitochondrial membrane	phosphatidylserine binding;protein binding;phosphatidic acid binding;cardiolipin binding;phosphatidylinositol phosphate binding	ENSG00000187583
ECM-receptor interaction - Homo sapiens (human);Primary Focal Segmental Glomerulosclerosis FSGS;Splicing factor NOVA regulated synaptic proteins;Developmental Biology;Signaling by GPCR;Signal Transduction;Metabolism of fat-soluble vitamins;Metabolism of carbohydrates;A tetrasaccharide linker sequence is required for GAG synthesis;HS-GAG biosynthesis;HS-GAG degradation;Heparan sulfate/heparin (HS-GAG) metabolism;Integrin cell surface interactions;Chondroitin sulfate/dermatan sulfate metabolism;Glycosaminoglycan metabolism;Extracellular matrix organization;Metabolism;Metabolism of vitamins and cofactors;Integrin;role of nicotinic acetylcholine receptors in the regulation of apoptosis;agrin in postsynaptic differentiation;NCAM signaling for neurite out-growth;Retinoid metabolism and transport;NCAM1 interactions;Non-integrin membrane-ECM interactions;G alpha (i) signalling events;Axon guidance;Visual phototransduction;ECM proteoglycans;GPCR downstream signalling;Wnt Canonical;Wnt Mammals	ECM-receptor interaction	FUNCTION: Isoform 1: heparan sulfate basal lamina glycoprotein that plays a central role in the formation and the maintenance of the neuromuscular junction (NMJ) and directs key events in postsynaptic differentiation. Component of the AGRN-LRP4 receptor complex that induces the phosphorylation and activation of MUSK. The activation of MUSK in myotubes induces the formation of NMJ by regulating different processes including the transcription of specific genes and the clustering of AChR in the postsynaptic membrane. Calcium ions are required for maximal AChR clustering. AGRN function in neurons is highly regulated by alternative splicing, glycan binding and proteolytic processing. Modulates calcium ion homeostasis in neurons, specifically by inducing an increase in cytoplasmic calcium ions. Functions differentially in the central nervous system (CNS) by inhibiting the alpha(3)- subtype of Na+/K+-ATPase and evoking depolarization at CNS synapses. This secreted isoform forms a bridge, after release from motor neurons, to basal lamina through binding laminin via the NtA domain.; FUNCTION: Isoform 1, isoform 4 and isoform 5: neuron-specific (z+) isoforms that contain C-terminal insertions of 8-19 AA are potent activators of AChR clustering. Isoform 5, agrin (z+8), containing the 8-AA insert, forms a receptor complex in myotubules containing the neuronal AGRN, the muscle-specific kinase MUSK and LRP4, a member of the LDL receptor family. The splicing factors, NOVA1 and NOVA2, regulate AGRN splicing and production of the 'z' isoforms.; FUNCTION: Agrin N-terminal 110 kDa subunit: is involved in regulation of neurite outgrowth probably due to the presence of the glycosaminoglcan (GAG) side chains of heparan and chondroitin sulfate attached to the Ser/Thr- and Gly/Ser-rich regions. Also involved in modulation of growth factor signaling (By similarity). {ECO:0000250, ECO:0000269|PubMed:19631309, ECO:0000269|PubMed:21969364}.; 	615120;	.	retinoid metabolic process;glycosaminoglycan biosynthetic process;glycosaminoglycan catabolic process;cytoskeleton organization;signal transduction;G protein-coupled acetylcholine receptor signaling pathway;extracellular matrix organization;receptor clustering;positive regulation of GTPase activity;clustering of voltage-gated sodium channels;positive regulation of synaptic growth at neuromuscular junction;positive regulation of transcription by RNA polymerase II;synapse organization;positive regulation of filopodium assembly	extracellular region;basement membrane;Golgi lumen;cytosol;plasma membrane;integral component of membrane;cell junction;lysosomal lumen;synapse;collagen-containing extracellular matrix;extracellular exosome	dystroglycan binding;structural constituent of cytoskeleton;extracellular matrix structural constituent;calcium ion binding;protein binding;sialic acid binding;chondroitin sulfate binding;laminin binding;heparan sulfate proteoglycan binding	ENSG00000188157
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human);Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human);Metabolism of carbohydrates;A tetrasaccharide linker sequence is required for GAG synthesis;Heparan sulfate/heparin (HS-GAG) metabolism;Chondroitin sulfate/dermatan sulfate metabolism;Glycosaminoglycan metabolism;Proteoglycan biosynthesis;glycoaminoglycan-protein linkage region biosynthesis;chondroitin sulfate biosynthesis;heparan sulfate biosynthesis;dermatan sulfate biosynthesis;Metabolism	Chondroitin sulfate biosynthesis;Glycan structures - biosynthesis 1	FUNCTION: Beta-1,3-galactosyltransferase that transfers galactose from UDP-galactose to substrates with a terminal beta-linked galactose residue. Has a preference for galactose-beta-1,4-xylose that is found in the linker region of glycosaminoglycans, such as heparan sulfate and chondroitin sulfate. Has no activity towards substrates with terminal glucosamine or galactosamine residues. {ECO:0000269|PubMed:11551958}.; 	271640;615349;	Blood protein levels[30072576];	glycosaminoglycan biosynthetic process;protein glycosylation;heparan sulfate proteoglycan biosynthetic process;glycosaminoglycan metabolic process;chondroitin sulfate biosynthetic process	Golgi membrane;endoplasmic reticulum;Golgi apparatus;Golgi medial cisterna;membrane;integral component of membrane;Golgi cisterna membrane	galactosyltransferase activity;UDP-galactosyltransferase activity;galactosylxylosylprotein 3-beta-galactosyltransferase activity	ENSG00000176022
.	.	FUNCTION: Insulin-sensitizing adipocyte-secreted protein (adipokine) that regulates glucose metabolism in liver and adipose tissue. Promotes glucose uptake in adipocytes and suppresses de novo glucose production in hepatocytes via the PI3K-Akt signaling pathway. Administration lead to reduction of blood glucose. Able to attenuate inflammation in fat tissue. {ECO:0000250|UniProtKB:Q8R2Z0}.; 	.	Systemic lupus erythematosus[28714469];	regulation of signaling receptor activity;regulation of glucose metabolic process;positive regulation of insulin secretion involved in cellular response to glucose stimulus;negative regulation of gluconeogenesis;regulation of glucose import;positive regulation of glucose import;positive regulation of insulin receptor signaling pathway;negative regulation of inflammatory response;positive regulation of protein kinase B signaling	extracellular region;extracellular space	hormone activity	ENSG00000184163
Carbohydrate digestion and absorption - Homo sapiens (human);Taste transduction - Homo sapiens (human);Signaling by GPCR;Signal Transduction;Class C/3 (Metabotropic glutamate/pheromone receptors);GPCR ligand binding;G alpha (i) signalling events;GPCR downstream signalling	Taste transduction	FUNCTION: Putative taste receptor. TAS1R1/TAS1R3 responds to the umami taste stimulus (the taste of monosodium glutamate). TAS1R2/TAS1R3 recognizes diverse natural and synthetic sweeteners. TAS1R3 is essential for the recognition and response to the disaccharide trehalose (By similarity). Sequence differences within and between species can significantly influence the selectivity and specificity of taste responses. {ECO:0000250, ECO:0000269|PubMed:11917125, ECO:0000269|PubMed:12892531}.; 	.	Inflammatory bowel disease[28067908];Ulcerative colitis[28067908];	detection of chemical stimulus involved in sensory perception of sweet taste;G protein-coupled receptor signaling pathway;sensory perception of sweet taste;sensory perception of umami taste	plasma membrane;integral component of plasma membrane;integral component of membrane;sweet taste receptor complex	G protein-coupled receptor activity;taste receptor activity;sweet taste receptor activity;signaling receptor activity;protein heterodimerization activity	ENSG00000169962
Gastric cancer - Homo sapiens (human);mTOR signaling pathway - Homo sapiens (human);Cushing,s syndrome - Homo sapiens (human);Breast cancer - Homo sapiens (human);HTLV-I infection - Homo sapiens (human);Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human);Basal cell carcinoma - Homo sapiens (human);Hepatocellular carcinoma - Homo sapiens (human);Hippo signaling pathway - Homo sapiens (human);Pathways in cancer - Homo sapiens (human);Wnt signaling pathway - Homo sapiens (human);Notch signaling pathway - Homo sapiens (human);Melanogenesis - Homo sapiens (human);Human papillomavirus infection - Homo sapiens (human);WNT-Core;MicroRNAs in cardiomyocyte hypertrophy;Regulation of Microtubule Cytoskeleton;Neural Crest Differentiation;Adipogenesis;Notch Signaling Pathway;Hair Follicle Development- Induction (Part 1 of 3);Wnt Signaling Pathway;Association Between Physico-Chemical Features and Toxicity Associated Pathways;ESC Pluripotency Pathways;Wnt Signaling Pathway and Pluripotency;Wnt Signaling in Kidney Disease;Notch Signaling Pathway;Wnt Signaling Pathway;DNA Damage Response (only ATM dependent);Signaling by WNT;Signal Transduction;wnt signaling pathway;segmentation clock;multi-step regulation of transcription by pitx2;RHO GTPases Activate Formins;inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages;Disassembly of the destruction complex and recruitment of AXIN to the membrane;RHO GTPase Effectors;Signaling by Rho GTPases;PCP/CE pathway;agrin in postsynaptic differentiation;Beta-catenin independent WNT signaling;Noncanonical Wnt signaling pathway;Negative regulation of TCF-dependent signaling by DVL-interacting proteins;Degradation of DVL;Wnt;Wnt Canonical;WNT mediated activation of DVL;Degradation of beta catenin;TCF dependent signaling in response to WNT;Canonical Wnt signaling pathway;Wnt Mammals;Presenilin action in Notch and Wnt signaling	Wnt signaling pathway;Notch signaling pathway;Melanogenesis;Colorectal cancer;Basal cell carcinoma	FUNCTION: Participates in Wnt signaling by binding to the cytoplasmic C-terminus of frizzled family members and transducing the Wnt signal to down-stream effectors. Plays a role both in canonical and non-canonical Wnt signaling. Plays a role in the signal transduction pathways mediated by multiple Wnt genes. Required for LEF1 activation upon WNT1 and WNT3A signaling. DVL1 and PAK1 form a ternary complex with MUSK which is important for MUSK-dependent regulation of AChR clustering during the formation of the neuromuscular junction (NMJ).; 	616331;	Inflammatory bowel disease[28067908];Ulcerative colitis[28067908];	regulation of neurotransmitter levels;positive regulation of protein phosphorylation;transcription by RNA polymerase II;negative regulation of protein kinase activity;neurotransmitter secretion;axon guidance;neuromuscular junction development;neural tube development;convergent extension involved in neural plate elongation;cytoplasmic microtubule organization;negative regulation of protein binding;positive regulation of proteasomal ubiquitin-dependent protein catabolic process;protein localization to nucleus;social behavior;protein localization to microtubule;intracellular signal transduction;non-canonical Wnt signaling pathway;receptor clustering;positive regulation of transcription, DNA-templated;collateral sprouting;axon extension;dendrite morphogenesis;synapse organization;protein stabilization;canonical Wnt signaling pathway;Wnt signaling pathway, planar cell polarity pathway;prepulse inhibition;dendritic spine morphogenesis;skeletal muscle acetylcholine-gated channel clustering;negative regulation of canonical Wnt signaling pathway;cochlea morphogenesis;planar cell polarity pathway involved in neural tube closure;presynapse assembly;positive regulation of neuron projection arborization;regulation of cellular protein localization;beta-catenin destruction complex disassembly;positive regulation of protein localization to presynapse;regulation of synaptic vesicle exocytosis;positive regulation of excitatory postsynaptic potential	cytosol;microtubule;postsynaptic density;lateral plasma membrane;clathrin-coated vesicle;growth cone;cytoplasmic vesicle;neuron projection;neuronal cell body;dendritic spine;synapse;Schaffer collateral - CA1 synapse;presynapse;glutamatergic synapse;Wnt signalosome	frizzled binding;protein binding;beta-catenin binding;enzyme binding;protein kinase binding;identical protein binding;Rac GTPase binding	ENSG00000107404
miR-targeted genes in epithelium - TarBase;miR-targeted genes in lymphocytes - TarBase;miR-targeted genes in muscle cell - TarBase;Neutrophil degranulation;Innate Immune System;Immune System	.	FUNCTION: May play a role in a mitochondrial network organization typical for stem cells, characterized by reduced mitochondrial metabolism, low mtDNA copies and fragmentated mitochondrial network. may act by suppressing ATAD3A function, interfering with ATAD3A interaction with matrix nucleoid complexes. {ECO:0000269|PubMed:22664726}.; 	.	Body mass index[26426971];	mitochondrion organization;neutrophil degranulation	mitochondrion;mitochondrial inner membrane;plasma membrane;secretory granule membrane;ficolin-1-rich granule membrane	ATP binding;zinc ion binding	ENSG00000160072
.	.	FUNCTION: Essential for mitochondrial network organization, mitochondrial metabolism and cell growth at organism and cellular level. May play an important role in mitochondrial protein synthesis. May also participate in mitochondrial DNA replication. May bind to mitochondrial DNA D-loops and contribute to nucleoid stability. Required for enhanced channeling of cholesterol for hormone-dependent steroidogenesis. {ECO:0000269|PubMed:17210950, ECO:0000269|PubMed:20154147, ECO:0000269|PubMed:22453275}.; 	617183;	Body mass index[26426971];	regulation of cell growth;mitochondrion organization;negative regulation of apoptotic process	mitochondrion;mitochondrial inner membrane;integral component of membrane;mitochondrial nucleoid	ATP binding;zinc ion binding	ENSG00000197785
NOTCH-Ncore;Disease;Signal Transduction;Immune System;Adaptive Immune System;Signaling by NOTCH1;Antigen processing: Ubiquitination & Proteasome degradation;Signaling by NOTCH2;NOTCH3 Activation and Transmission of Signal to the Nucleus;Class I MHC mediated antigen processing & presentation;Signaling by NOTCH3;Signaling by NOTCH;NOTCH2 Activation and Transmission of Signal to the Nucleus;Constitutive Signaling by NOTCH1 HD Domain Mutants;Signaling by NOTCH1 HD Domain Mutants in Cancer;Constitutive Signaling by NOTCH1 PEST Domain Mutants;Signaling by NOTCH1 PEST Domain Mutants in Cancer;Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants;Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer;Signaling by NOTCH1 in Cancer;Diseases of signal transduction;Activated NOTCH1 Transmits Signal to the Nucleus	.	FUNCTION: E3 ubiquitin-protein ligase that mediates ubiquitination of Delta receptors, which act as ligands of Notch proteins. Positively regulates the Delta-mediated Notch signaling by ubiquitinating the intracellular domain of Delta, leading to endocytosis of Delta receptors. {ECO:0000250|UniProtKB:Q8R516}.; 	.	Body mass index[26426971];	protein polyubiquitination;Notch signaling pathway;protein ubiquitination;positive regulation of I-kappaB kinase/NF-kappaB signaling	ubiquitin ligase complex;cytoplasm;early endosome;cytosol	actin binding;ubiquitin-protein transferase activity;protein binding;zinc ion binding;ubiquitin protein ligase activity	ENSG00000197530
